condition,model,e,e_mse,e_in,b,g,d,r_A,div,g_lin,sure,dis,g2,g3,q,frac_improved
blur(std=0.5),pca64,0.0645214,0.0109319,0.0317409,0.28612,5.27497e-16,0.0508633,0.0516895,,,,,4.93108e-16,4.91707e-16,,0.0004
blur(std=0.5),dae_lam0.1w5_seed0,0.0424535,0.00825463,0.0317409,0.28612,0.00879124,0.0441137,0.0403259,,,,0.00842537,0.00635341,0.00535664,0.723666,0.2781
blur(std=0.5),dae_lam0.1w5_seed1,0.0440799,0.00883662,0.0317409,0.28612,0.0088544,0.0452621,0.0416648,,,,0.00842537,0.00649909,0.00553914,0.734294,0.2469
blur(std=0.5),dae_lam0_seed0,0.0424029,0.00829207,0.0317409,0.28612,0.00988897,0.0443653,0.0403813,,,,0.00861962,0.00744237,0.00640106,0.750668,0.2799
blur(std=0.5),dae_lam0_seed1,0.0433088,0.00864879,0.0317409,0.28612,0.00993386,0.0450558,0.0411727,,,,0.00861962,0.00757032,0.00655413,0.760304,0.262
blur(std=0.5),dae_lam0_seed2,0.0451282,0.00936642,0.0317409,0.28612,0.0104875,0.0464204,0.0426896,,,,0.00861962,0.0083103,0.00732828,0.783347,0.2278
blur(std=0.5),dae_lam1_seed0,0.209543,0.103143,0.0317409,0.28612,1.03761e-06,0.20612,0.205385,,,,,6.08871e-09,5.83558e-09,0.00627677,0
blur(std=0.5),dae_lam1w5_inner_seed0,0.0524705,0.0124922,0.0317409,0.28612,0.010028,0.054329,0.0504554,,,,0.0146814,0.0063814,0.00535638,0.647129,0.1377
blur(std=0.5),dae_lam1w5_inner_seed1,0.0537826,0.0132556,0.0317409,0.28612,0.0102638,0.0553765,0.0516034,,,,0.0146814,0.00674959,0.00568294,0.664572,0.1163
blur(std=0.5),dae_lam1w5_inner_seed2,0.0548198,0.013629,0.0317409,0.28612,0.0103347,0.0573606,0.0524593,,,,0.0146814,0.00673879,0.00567715,0.656794,0.1104
blur(std=0.5),dae_lam1w5_seed0,0.0486234,0.010758,0.0317409,0.28612,0.00581422,0.0483454,0.0455784,,,,0.00906861,0.00378968,0.00320195,0.663114,0.1707
blur(std=0.5),dae_lam1w5_seed1,0.0510264,0.0117882,0.0317409,0.28612,0.00582052,0.0503742,0.0475951,,,,0.00906861,0.00377524,0.00316724,0.661145,0.1379
blur(std=0.5),dae_lam1w5_seed2,0.0525677,0.0123583,0.0317409,0.28612,0.00530834,0.0517964,0.0490839,,,,0.00906861,0.00336908,0.00284978,0.646706,0.1263
blur(std=1),radial,0.0864994,0.0154204,0.0704066,0.283754,2.29839e-17,0.0474584,0.048954,,,,,5.40462e-18,2.81251e-18,,0.1547
blur(std=1),pca64,0.0777625,0.0157215,0.0704066,0.283754,4.87677e-16,0.0315582,0.0378004,,,,,4.4877e-16,4.46894e-16,,0.1843
blur(std=1),dae_lam0.1w5_seed0,0.0569921,0.0118296,0.0704066,0.283754,0.0107014,0.0509939,0.0332091,,,,0.00864236,0.0069994,0.00565698,0.656234,0.9097
blur(std=1),dae_lam0.1w5_seed1,0.0571287,0.0121018,0.0704066,0.283754,0.0106218,0.051988,0.0334667,,,,0.00864236,0.00716982,0.0059092,0.676139,0.9024
blur(std=1),dae_lam0_seed0,0.0564897,0.0117635,0.0704066,0.283754,0.0118771,0.0516694,0.0330942,,,,0.00889077,0.00805578,0.00666172,0.677326,0.9153
blur(std=1),dae_lam0_seed1,0.0574089,0.0121826,0.0704066,0.283754,0.011686,0.0524949,0.0339768,,,,0.00889077,0.00825573,0.00696536,0.703805,0.9052
blur(std=1),dae_lam0_seed2,0.0579182,0.012705,0.0704066,0.283754,0.0124592,0.0528409,0.0349038,,,,0.00889077,0.00918923,0.00788589,0.728267,0.8917
blur(std=1),dae_lam1_seed0,0.209543,0.103143,0.0704066,0.283754,9.57005e-07,0.191904,0.188858,,,,,6.08605e-09,5.84655e-09,0.00687078,0
blur(std=1),dae_lam1w5_inner_seed0,0.0640592,0.0153458,0.0704066,0.283754,0.0103857,0.0626352,0.0428974,,,,0.0156084,0.00634938,0.00537383,0.61207,0.7097
blur(std=1),dae_lam1w5_inner_seed1,0.0650716,0.0159482,0.0704066,0.283754,0.0107561,0.0642131,0.0438557,,,,0.0156084,0.00682681,0.0058023,0.63438,0.7041
blur(std=1),dae_lam1w5_inner_seed2,0.0634671,0.0159528,0.0704066,0.283754,0.0107917,0.0666471,0.0432135,,,,0.0156084,0.00685883,0.00582526,0.629906,0.7138
