scope,group,model_group,signal,spearman,partial,auroc
family,pixel_mask,dae_lam1w5,dis@level,-0.2389,-0.2993,0.3393
family,pixel_mask,dae_lam1w5,g2@level,0.6253,0.9205,0.8013
family,pixel_mask,dae_lam1w5,g3@level,0.6253,0.9205,0.8013
family,pixel_mask,dae_lam1w5,q@level,0.4955,0.7130,0.7552
family,box_mask,dae_lam1w5_inner,dis,0.6521,0.6743,0.8132
family,box_mask,dae_lam1w5_inner,g2,0.7111,0.7001,0.8488
family,box_mask,dae_lam1w5_inner,g3,0.6758,0.6610,0.8425
family,box_mask,dae_lam1w5_inner,q,0.1688,0.1969,0.6167
family,box_mask,dae_lam1w5_inner,dis@level,0.6240,0.7375,0.8105
family,box_mask,dae_lam1w5_inner,g2@level,0.6240,0.7375,0.8105
family,box_mask,dae_lam1w5_inner,g3@level,0.6240,0.7375,0.8105
family,box_mask,dae_lam1w5_inner,q@level,0.6240,0.7375,0.8105
family,box_mask,dae_lam1w5,dis,0.7465,0.7566,0.8431
family,box_mask,dae_lam1w5,g2,0.7315,0.7214,0.8331
family,box_mask,dae_lam1w5,g3,0.7159,0.6992,0.8295
family,box_mask,dae_lam1w5,q,0.0745,0.0908,0.5572
family,box_mask,dae_lam1w5,dis@level,0.5877,0.7272,0.8044
family,box_mask,dae_lam1w5,g2@level,0.5877,0.7272,0.8044
family,box_mask,dae_lam1w5,g3@level,0.5877,0.7272,0.8044
family,box_mask,dae_lam1w5,q@level,0.5877,0.7272,0.8044
family,noise,dae_lam1w5_outer,dis,0.8006,0.8007,0.8796
family,noise,dae_lam1w5_outer,g2,0.7607,0.7606,0.8894
family,noise,dae_lam1w5_outer,g3,0.7331,0.7319,0.8738
family,noise,dae_lam1w5_outer,q,-0.2493,-0.2533,0.3537
family,noise,dae_lam1w5_outer,dis@level,0.5322,0.5332,0.7750
family,noise,dae_lam1w5_outer,g2@level,0.5322,0.5332,0.7750
family,noise,dae_lam1w5_outer,g3@level,0.5322,0.5332,0.7750
family,noise,dae_lam1w5_outer,q@level,-0.5322,-0.5332,0.2250
family,blur,dae_lam1w5_outer,dis,0.7037,0.7018,0.8506
family,blur,dae_lam1w5_outer,g2,0.6691,0.6445,0.8270
family,blur,dae_lam1w5_outer,g3,0.6301,0.6018,0.8105
family,blur,dae_lam1w5_outer,q,-0.2854,-0.2458,0.3722
family,blur,dae_lam1w5_outer,dis@level,0.6907,0.7174,0.8234
family,blur,dae_lam1w5_outer,g2@level,0.6907,0.7174,0.8234
family,blur,dae_lam1w5_outer,g3@level,0.6907,0.7174,0.8234
family,blur,dae_lam1w5_outer,q@level,-0.6509,-0.6757,0.2172
