condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
pixel_mask(drop=0.75),dae_lam1w5,g,0.5402,0.4700,0.6749,0.1898,0.1675,0.2247,0.7857
pixel_mask(drop=0.75),dae_lam1w5,d,0.9705,0.9690,0.9713,0.4837,0.4211,0.5276,0.9829
pixel_mask(drop=0.75),dae_lam1w5,r_A,0.9765,0.9757,0.9771,0.7248,0.7065,0.7490,0.9861
box_mask(size=8),dae_lam1w5_inner,b,0.4316,0.3893,0.4593,,,,0.7241
box_mask(size=8),dae_lam1w5_inner,g,0.7451,0.7295,0.7589,0.6772,0.6709,0.6875,0.8324
box_mask(size=8),dae_lam1w5_inner,d,0.8217,0.8128,0.8314,0.7805,0.7747,0.7878,0.8785
box_mask(size=8),dae_lam1w5_inner,r_A,0.8253,0.8034,0.8403,0.8173,0.7981,0.8321,0.9020
box_mask(size=8),dae_lam1w5,b,0.4998,0.4866,0.5141,,,,0.7741
box_mask(size=8),dae_lam1w5,g,0.8219,0.8164,0.8324,0.7543,0.7461,0.7651,0.8915
box_mask(size=8),dae_lam1w5,d,0.9043,0.8919,0.9135,0.8762,0.8590,0.8880,0.9331
box_mask(size=8),dae_lam1w5,r_A,0.8646,0.8507,0.8773,0.8473,0.8281,0.8614,0.9215
box_mask(size=14),dae_lam1w5_inner,b,0.6717,0.6538,0.6929,,,,0.8458
box_mask(size=14),dae_lam1w5_inner,g,0.7051,0.6484,0.7506,0.4457,0.3726,0.4959,0.8345
box_mask(size=14),dae_lam1w5_inner,d,0.6770,0.6517,0.7252,0.4143,0.3816,0.4733,0.8317
box_mask(size=14),dae_lam1w5_inner,r_A,0.7109,0.6832,0.7458,0.4840,0.4578,0.5077,0.8538
box_mask(size=14),dae_lam1w5,b,0.6860,0.6759,0.6996,,,,0.8548
box_mask(size=14),dae_lam1w5,g,0.7597,0.7462,0.7745,0.5250,0.5178,0.5377,0.8734
box_mask(size=14),dae_lam1w5,d,0.7524,0.7300,0.7784,0.5251,0.4860,0.5725,0.8760
box_mask(size=14),dae_lam1w5,r_A,0.7034,0.6769,0.7439,0.4567,0.4221,0.5061,0.8534
noise(sigma=0.1),dae_lam1w5_outer,b,0.0336,0.0214,0.0401,,,,0.5131
noise(sigma=0.1),dae_lam1w5_outer,g,0.6753,0.6693,0.6845,0.6783,0.6725,0.6868,0.8509
noise(sigma=0.1),dae_lam1w5_outer,d,0.9347,0.9263,0.9426,0.9438,0.9368,0.9502,0.9807
noise(sigma=0.1),dae_lam1w5_outer,r_A,0.9347,0.9263,0.9426,0.9438,0.9368,0.9502,0.9807
noise(sigma=0.1),dae_lam1w5_outer,div,0.4162,0.3652,0.4778,0.4177,0.3661,0.4795,0.6868
noise(sigma=0.1),dae_lam1w5_outer,g_lin,0.7597,0.7490,0.7720,0.7608,0.7524,0.7721,0.8936
noise(sigma=0.1),dae_lam1w5_outer,sure,0.9119,0.9066,0.9196,0.9181,0.9143,0.9241,0.9654
noise(sigma=0.2),dae_lam1w5_outer,b,0.0721,0.0617,0.0779,,,,0.5229
noise(sigma=0.2),dae_lam1w5_outer,g,0.6408,0.6217,0.6650,0.6402,0.6205,0.6645,0.8326
noise(sigma=0.2),dae_lam1w5_outer,d,0.7695,0.7415,0.7939,0.7824,0.7568,0.8042,0.9195
noise(sigma=0.2),dae_lam1w5_outer,r_A,0.7695,0.7415,0.7939,0.7824,0.7568,0.8042,0.9195
