condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
blur(std=1.5),dae_lam1w5,b,0.4160,0.3662,0.4676,,,,0.6572
blur(std=1.5),dae_lam1w5,g,0.5517,0.5115,0.6040,0.4130,0.2953,0.5171,0.7649
blur(std=1.5),dae_lam1w5,d,0.5288,0.4783,0.5749,0.3969,0.3539,0.4320,0.7279
blur(std=1.5),dae_lam1w5,r_A,0.6893,0.6618,0.7065,0.6093,0.5918,0.6389,0.8343
blur(std=2),dae_lam0,b,0.6980,0.6759,0.7146,,,,0.7906
blur(std=2),dae_lam0,g,0.5995,0.4976,0.6637,0.1253,0.1119,0.1332,0.7442
blur(std=2),dae_lam0,d,0.7418,0.7186,0.7626,0.3534,0.3314,0.3807,0.8122
blur(std=2),dae_lam0,r_A,0.7642,0.7435,0.7780,0.4650,0.4553,0.4793,0.8318
blur(std=2),dae_lam1,b,0.5037,0.5037,0.5037,,,,0.8697
blur(std=2),dae_lam1,g,0.7563,0.7563,0.7563,0.7781,0.7781,0.7781,0.8652
blur(std=2),dae_lam1,d,0.9162,0.9162,0.9162,0.9053,0.9053,0.9053,0.9811
blur(std=2),dae_lam1,r_A,0.9409,0.9409,0.9409,0.9209,0.9209,0.9209,0.9822
blur(std=2),dae_lam1w5,b,0.5971,0.5559,0.6368,,,,0.7364
blur(std=2),dae_lam1w5,g,0.6137,0.6038,0.6214,0.3347,0.2567,0.3808,0.7770
blur(std=2),dae_lam1w5,d,0.6678,0.6424,0.7034,0.3860,0.3582,0.4027,0.7720
blur(std=2),dae_lam1w5,r_A,0.7089,0.6689,0.7349,0.4776,0.4488,0.5325,0.7988
pixel_mask(drop=0.25),dae_lam0,b,0.8672,0.8519,0.8798,,,,0.9315
pixel_mask(drop=0.25),dae_lam0,g,0.6341,0.4797,0.7263,0.5873,0.5716,0.5956,0.8311
pixel_mask(drop=0.25),dae_lam0,d,0.9665,0.9605,0.9712,0.9480,0.9442,0.9506,0.9837
pixel_mask(drop=0.25),dae_lam0,r_A,0.9936,0.9930,0.9940,0.9740,0.9733,0.9744,0.9966
pixel_mask(drop=0.25),dae_lam1,b,0.5041,0.5041,0.5041,,,,0.8712
pixel_mask(drop=0.25),dae_lam1,g,0.3798,0.3798,0.3798,0.3765,0.3765,0.3765,0.6847
pixel_mask(drop=0.25),dae_lam1,d,0.9904,0.9904,0.9904,0.9872,0.9872,0.9872,0.9975
pixel_mask(drop=0.25),dae_lam1,r_A,0.9888,0.9888,0.9888,0.9851,0.9851,0.9851,0.9976
pixel_mask(drop=0.25),dae_lam1w5,b,0.8659,0.8526,0.8735,,,,0.9297
pixel_mask(drop=0.25),dae_lam1w5,g,0.6105,0.5589,0.6606,0.5191,0.5078,0.5343,0.7913
pixel_mask(drop=0.25),dae_lam1w5,d,0.9695,0.9661,0.9723,0.9589,0.9561,0.9603,0.9845
pixel_mask(drop=0.25),dae_lam1w5,r_A,0.9939,0.9936,0.9941,0.9754,0.9749,0.9764,0.9968
pixel_mask(drop=0.5),dae_lam0,b,0.9602,0.9568,0.9629,,,,0.9781
pixel_mask(drop=0.5),dae_lam0,g,0.6491,0.5100,0.7681,0.3875,0.3687,0.4112,0.8546
pixel_mask(drop=0.5),dae_lam0,d,0.9829,0.9810,0.9841,0.8654,0.8554,0.8741,0.9912
pixel_mask(drop=0.5),dae_lam0,r_A,0.9894,0.9886,0.9899,0.8799,0.8775,0.8817,0.9941
pixel_mask(drop=0.5),dae_lam1,b,0.4988,0.4988,0.4988,,,,0.8670
pixel_mask(drop=0.5),dae_lam1,g,0.2607,0.2607,0.2607,0.1867,0.1867,0.1867,0.6408
pixel_mask(drop=0.5),dae_lam1,d,0.9733,0.9733,0.9733,0.9652,0.9652,0.9652,0.9919
pixel_mask(drop=0.5),dae_lam1,r_A,0.9674,0.9674,0.9674,0.9565,0.9565,0.9565,0.9902
pixel_mask(drop=0.5),dae_lam1w5,b,0.9627,0.9616,0.9639,,,,0.9791
pixel_mask(drop=0.5),dae_lam1w5,g,0.6207,0.5822,0.6522,0.3237,0.3098,0.3343,0.8088
pixel_mask(drop=0.5),dae_lam1w5,d,0.9857,0.9851,0.9863,0.9012,0.8976,0.9067,0.9921
pixel_mask(drop=0.5),dae_lam1w5,r_A,0.9900,0.9898,0.9902,0.8795,0.8772,0.8838,0.9942
pixel_mask(drop=0.75),dae_lam0,b,0.9615,0.9601,0.9625,,,,0.9775
pixel_mask(drop=0.75),dae_lam0,g,0.6713,0.6591,0.6821,0.2091,0.1725,0.2365,0.8361
pixel_mask(drop=0.75),dae_lam0,d,0.9667,0.9659,0.9678,0.3651,0.3402,0.3794,0.9814
pixel_mask(drop=0.75),dae_lam0,r_A,0.9752,0.9741,0.9759,0.7053,0.6945,0.7258,0.9856
pixel_mask(drop=0.75),dae_lam1,b,0.4902,0.4902,0.4902,,,,0.8632
pixel_mask(drop=0.75),dae_lam1,g,0.1798,0.1798,0.1798,0.0724,0.0724,0.0724,0.6055
pixel_mask(drop=0.75),dae_lam1,d,0.9242,0.9242,0.9242,0.9040,0.9040,0.9040,0.9727
pixel_mask(drop=0.75),dae_lam1,r_A,0.9151,0.9151,0.9151,0.8871,0.8871,0.8871,0.9690
pixel_mask(drop=0.75),dae_lam1w5,b,0.9631,0.9624,0.9636,,,,0.9782
pixel_mask(drop=0.75),dae_lam1w5,g,0.5402,0.4700,0.6749,0.1898,0.1675,0.2247,0.7857
pixel_mask(drop=0.75),dae_lam1w5,d,0.9705,0.9690,0.9713,0.4837,0.4211,0.5276,0.9829
pixel_mask(drop=0.75),dae_lam1w5,r_A,0.9765,0.9757,0.9771,0.7248,0.7065,0.7490,0.9861
box_mask(size=8),dae_lam0,b,0.5087,0.5067,0.5114,,,,0.7878
box_mask(size=8),dae_lam0,g,0.8253,0.8217,0.8312,0.7624,0.7570,0.7664,0.8928
box_mask(size=8),dae_lam0,d,0.8504,0.8377,0.8657,0.8168,0.8021,0.8320,0.8997
box_mask(size=8),dae_lam0,r_A,0.7929,0.7708,0.8189,0.7761,0.7545,0.7992,0.8762
box_mask(size=8),dae_lam1,b,0.5035,0.5035,0.5035,,,,0.8703
box_mask(size=8),dae_lam1,g,0.6016,0.6016,0.6016,0.6115,0.6115,0.6115,0.7818
box_mask(size=8),dae_lam1,d,0.9316,0.9316,0.9316,0.9112,0.9112,0.9112,0.9763
box_mask(size=8),dae_lam1,r_A,0.9760,0.9760,0.9760,0.9677,0.9677,0.9677,0.9931
box_mask(size=8),dae_lam1w5,b,0.4998,0.4866,0.5141,,,,0.7741
box_mask(size=8),dae_lam1w5,g,0.8219,0.8164,0.8324,0.7543,0.7461,0.7651,0.8915
box_mask(size=8),dae_lam1w5,d,0.9043,0.8919,0.9135,0.8762,0.8590,0.8880,0.9331
box_mask(size=8),dae_lam1w5,r_A,0.8646,0.8507,0.8773,0.8473,0.8281,0.8614,0.9215
box_mask(size=14),dae_lam0,b,0.6857,0.6775,0.6938,,,,0.8537
box_mask(size=14),dae_lam0,g,0.7107,0.6918,0.7225,0.4424,0.4133,0.4630,0.8539
box_mask(size=14),dae_lam0,d,0.6910,0.6645,0.7428,0.4383,0.3962,0.5162,0.8411
box_mask(size=14),dae_lam0,r_A,0.6376,0.6007,0.6969,0.3686,0.3278,0.4414,0.8170
box_mask(size=14),dae_lam1,b,0.4989,0.4989,0.4989,,,,0.8714
box_mask(size=14),dae_lam1,g,0.4080,0.4080,0.4080,0.4982,0.4982,0.4982,0.6757
box_mask(size=14),dae_lam1,d,0.8133,0.8133,0.8133,0.7534,0.7534,0.7534,0.9373
box_mask(size=14),dae_lam1,r_A,0.9037,0.9037,0.9037,0.8848,0.8848,0.8848,0.9770
box_mask(size=14),dae_lam1w5,b,0.6860,0.6759,0.6996,,,,0.8548
box_mask(size=14),dae_lam1w5,g,0.7597,0.7462,0.7745,0.5250,0.5178,0.5377,0.8734
box_mask(size=14),dae_lam1w5,d,0.7524,0.7300,0.7784,0.5251,0.4860,0.5725,0.8760
box_mask(size=14),dae_lam1w5,r_A,0.7034,0.6769,0.7439,0.4567,0.4221,0.5061,0.8534
noise(sigma=0.1),dae_lam0,dis,0.7980,0.7865,0.8123,0.7982,0.7863,0.8130,0.8884
noise(sigma=0.1),dae_lam0,g2,0.6671,0.6582,0.6738,0.6702,0.6579,0.6788,0.8251
noise(sigma=0.1),dae_lam0,g3,0.6139,0.5940,0.6306,0.6188,0.5944,0.6438,0.8002
noise(sigma=0.1),dae_lam0,q,-0.0420,-0.0987,0.0497,-0.0387,-0.0955,0.0538,0.4707
noise(sigma=0.1),dae_lam1,g2,0.0122,0.0122,0.0122,0.0278,0.0278,0.0278,0.5136
noise(sigma=0.1),dae_lam1,g3,-0.0136,-0.0136,-0.0136,-0.0139,-0.0139,-0.0139,0.4950
noise(sigma=0.1),dae_lam1,q,-0.6038,-0.6038,-0.6038,-0.5512,-0.5512,-0.5512,0.2000
noise(sigma=0.1),dae_lam1w5,dis,0.7731,0.7444,0.7954,0.7768,0.7472,0.8012,0.8710
noise(sigma=0.1),dae_lam1w5,g2,0.5112,0.4785,0.5582,0.5148,0.4800,0.5647,0.7799
noise(sigma=0.1),dae_lam1w5,g3,0.4811,0.4407,0.5319,0.4842,0.4427,0.5367,0.7626
noise(sigma=0.1),dae_lam1w5,q,-0.3187,-0.3455,-0.2762,-0.3275,-0.3524,-0.2852,0.3520
