scope,group,projector,signal,constant,spearman,spearman_lo,spearman_hi,auroc,auroc_lo,auroc_hi,n
condition,pixel_mask(drop=0.5),pca16,d,False,0.9875,0.9869,0.9880,0.9937,0.9926,0.9946,10000
condition,pixel_mask(drop=0.5),pca16,r_A,False,0.9897,0.9893,0.9901,0.9945,0.9936,0.9953,10000
condition,pixel_mask(drop=0.5),pca64,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.5),pca64,d,False,0.9891,0.9886,0.9895,0.9938,0.9929,0.9948,10000
condition,pixel_mask(drop=0.5),pca64,r_A,False,0.9891,0.9887,0.9895,0.9933,0.9923,0.9943,10000
condition,pixel_mask(drop=0.5),pca256,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.5),pca256,d,False,0.9882,0.9877,0.9887,0.9931,0.9922,0.9941,10000
condition,pixel_mask(drop=0.5),pca256,r_A,False,0.9825,0.9819,0.9832,0.9899,0.9885,0.9911,10000
condition,pixel_mask(drop=0.5),nn,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.5),nn,d,False,0.9505,0.9485,0.9523,0.9721,0.9694,0.9746,10000
condition,pixel_mask(drop=0.5),nn,r_A,False,0.9894,0.9890,0.9898,0.9934,0.9925,0.9944,10000
condition,pixel_mask(drop=0.75),identity,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.75),identity,d,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.75),identity,r_A,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.75),radial,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.75),radial,d,False,0.4395,0.4228,0.4571,0.8290,0.8197,0.8385,10000
condition,pixel_mask(drop=0.75),radial,r_A,False,0.4215,0.4046,0.4398,0.8200,0.8103,0.8299,10000
condition,pixel_mask(drop=0.75),pca16,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.75),pca16,d,False,0.9743,0.9732,0.9753,0.9851,0.9834,0.9868,10000
condition,pixel_mask(drop=0.75),pca16,r_A,False,0.9757,0.9746,0.9766,0.9854,0.9838,0.9871,10000
condition,pixel_mask(drop=0.75),pca64,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.75),pca64,d,False,0.9751,0.9740,0.9759,0.9857,0.9841,0.9874,10000
condition,pixel_mask(drop=0.75),pca64,r_A,False,0.9757,0.9747,0.9766,0.9854,0.9837,0.9872,10000
condition,pixel_mask(drop=0.75),pca256,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.75),pca256,d,False,0.9789,0.9781,0.9796,0.9872,0.9856,0.9887,10000
condition,pixel_mask(drop=0.75),pca256,r_A,False,0.9694,0.9682,0.9705,0.9801,0.9780,0.9821,10000
condition,pixel_mask(drop=0.75),nn,g,True,,,,0.5000,0.5000,0.5000,10000
condition,pixel_mask(drop=0.75),nn,d,False,0.9334,0.9309,0.9359,0.9655,0.9625,0.9685,10000
condition,pixel_mask(drop=0.75),nn,r_A,False,0.9760,0.9750,0.9769,0.9859,0.9842,0.9875,10000
condition,box_mask(size=8),identity,g,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=8),identity,d,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=8),identity,r_A,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=8),radial,g,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=8),radial,d,False,0.7365,0.7265,0.7460,0.9375,0.9326,0.9424,10000
condition,box_mask(size=8),radial,r_A,False,0.7207,0.7103,0.7306,0.9330,0.9280,0.9382,10000
condition,box_mask(size=8),pca16,g,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=8),pca16,d,False,0.9811,0.9803,0.9820,0.9889,0.9875,0.9902,10000
condition,box_mask(size=8),pca16,r_A,False,0.9627,0.9611,0.9643,0.9817,0.9798,0.9837,10000
condition,box_mask(size=8),pca64,g,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=8),pca64,d,False,0.9123,0.9085,0.9159,0.9450,0.9410,0.9493,10000
condition,box_mask(size=8),pca64,r_A,False,0.8605,0.8551,0.8661,0.9208,0.9158,0.9261,10000
condition,box_mask(size=8),pca256,g,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=8),pca256,d,False,0.6329,0.6201,0.6455,0.7995,0.7909,0.8090,10000
condition,box_mask(size=8),pca256,r_A,False,0.5878,0.5745,0.6011,0.7848,0.7758,0.7953,10000
condition,box_mask(size=8),nn,g,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=8),nn,d,False,0.9013,0.8968,0.9056,0.9453,0.9409,0.9496,10000
condition,box_mask(size=8),nn,r_A,False,0.9689,0.9672,0.9705,0.9836,0.9814,0.9857,10000
condition,box_mask(size=14),identity,g,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=14),identity,d,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=14),identity,r_A,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=14),radial,g,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=14),radial,d,False,0.6247,0.6118,0.6376,0.8878,0.8800,0.8951,10000
condition,box_mask(size=14),radial,r_A,False,0.6136,0.6007,0.6269,0.8857,0.8778,0.8931,10000
condition,box_mask(size=14),pca16,g,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=14),pca16,d,False,0.8586,0.8532,0.8642,0.9227,0.9177,0.9278,10000
condition,box_mask(size=14),pca16,r_A,False,0.8421,0.8358,0.8486,0.9183,0.9129,0.9237,10000
condition,box_mask(size=14),pca64,g,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=14),pca64,d,False,0.7428,0.7334,0.7526,0.8643,0.8571,0.8717,10000
condition,box_mask(size=14),pca64,r_A,False,0.6765,0.6651,0.6880,0.8365,0.8289,0.8448,10000
condition,box_mask(size=14),pca256,g,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=14),pca256,d,False,0.4392,0.4226,0.4558,0.7191,0.7083,0.7296,10000
condition,box_mask(size=14),pca256,r_A,False,0.4042,0.3874,0.4213,0.7090,0.6986,0.7199,10000
condition,box_mask(size=14),nn,g,True,,,,0.5000,0.5000,0.5000,10000
condition,box_mask(size=14),nn,d,False,0.7574,0.7487,0.7663,0.8464,0.8378,0.8544,10000
condition,box_mask(size=14),nn,r_A,False,0.8534,0.8474,0.8593,0.9154,0.9096,0.9209,10000
family,noise,identity,g,True,,,,0.5000,0.5000,0.5000,40000
family,noise,identity,d,True,,,,0.5000,0.5000,0.5000,40000
family,noise,identity,r_A,True,,,,0.5000,0.5000,0.5000,40000
family,noise,radial,g,True,,,,0.5000,0.5000,0.5000,40000
family,noise,radial,d,False,0.8277,0.8249,0.8306,0.9990,0.9987,0.9992,40000
family,noise,radial,r_A,False,0.8277,0.8249,0.8306,0.9990,0.9987,0.9992,40000
family,noise,pca16,g,True,,,,0.5000,0.5000,0.5000,40000
family,noise,pca16,d,False,0.4667,0.4631,0.4705,0.6998,0.6960,0.7034,40000
family,noise,pca16,r_A,False,0.4667,0.4631,0.4705,0.6998,0.6960,0.7034,40000
family,noise,pca64,g,True,,,,0.5000,0.5000,0.5000,40000
family,noise,pca64,d,False,0.8620,0.8590,0.8646,0.9396,0.9361,0.9427,40000
family,noise,pca64,r_A,False,0.8620,0.8590,0.8646,0.9396,0.9361,0.9427,40000
family,noise,pca256,g,True,,,,0.5000,0.5000,0.5000,40000
