model,model_group,signal,coverage,width,q_hat,coverage_supervised,width_supervised
dae_lam0.1w5_seed2,dae_lam0.1w5,q,0.9309,0.0282,2.1385,0.9002,0.0251
dae_lam1w5_outer_seed0,dae_lam1w5_outer,g,0.9360,0.0240,1.7380,0.8975,0.0211
dae_lam1w5_outer_seed0,dae_lam1w5_outer,d,0.8809,0.0218,1.5766,0.8982,0.0208
dae_lam1w5_outer_seed0,dae_lam1w5_outer,r_A,0.8809,0.0218,1.5766,0.8982,0.0208
dae_lam1w5_outer_seed0,dae_lam1w5_outer,dis,0.9318,0.0237,1.7190,0.8982,0.0213
dae_lam1w5_outer_seed0,dae_lam1w5_outer,g2,0.9405,0.0253,1.8347,0.8953,0.0217
dae_lam1w5_outer_seed0,dae_lam1w5_outer,q,0.9261,0.0288,2.0878,0.8982,0.0257
dae_lam1w5_outer_seed1,dae_lam1w5_outer,g,0.9209,0.0343,1.6698,0.8959,0.0316
dae_lam1w5_outer_seed1,dae_lam1w5_outer,d,0.8801,0.0309,1.5097,0.9050,0.0305
dae_lam1w5_outer_seed1,dae_lam1w5_outer,r_A,0.8801,0.0309,1.5097,0.9050,0.0305
dae_lam1w5_outer_seed1,dae_lam1w5_outer,dis,0.9276,0.0332,1.6242,0.9000,0.0304
dae_lam1w5_outer_seed1,dae_lam1w5_outer,g2,0.9217,0.0361,1.7593,0.8950,0.0330
dae_lam1w5_outer_seed1,dae_lam1w5_outer,q,0.9085,0.0419,2.0470,0.9020,0.0402
dae_lam1w5_outer_seed2,dae_lam1w5_outer,g,0.9374,0.0257,1.7521,0.8915,0.0225
dae_lam1w5_outer_seed2,dae_lam1w5_outer,d,0.8925,0.0237,1.6080,0.9021,0.0223
dae_lam1w5_outer_seed2,dae_lam1w5_outer,r_A,0.8925,0.0237,1.6080,0.9021,0.0223
dae_lam1w5_outer_seed2,dae_lam1w5_outer,dis,0.9304,0.0249,1.6964,0.8965,0.0224
dae_lam1w5_outer_seed2,dae_lam1w5_outer,g2,0.9404,0.0265,1.8081,0.8962,0.0230
dae_lam1w5_outer_seed2,dae_lam1w5_outer,q,0.9319,0.0303,2.0681,0.9019,0.0270
unet_lam0_seed0,unet_lam0,g,0.9308,0.0223,1.7650,0.8989,0.0197
unet_lam0_seed0,unet_lam0,d,0.9188,0.0209,1.6693,0.8951,0.0193
unet_lam0_seed0,unet_lam0,r_A,0.9188,0.0209,1.6693,0.8951,0.0193
unet_lam0_seed0,unet_lam0,dis,0.9555,0.0214,1.6811,0.9051,0.0182
unet_lam0_seed0,unet_lam0,g2,0.9376,0.0239,1.8630,0.9001,0.0210
unet_lam0_seed0,unet_lam0,q,0.9080,0.0344,2.7504,0.8947,0.0325
unet_lam0_seed1,unet_lam0,g,0.9339,0.0237,1.6954,0.9018,0.0212
unet_lam0_seed1,unet_lam0,d,0.9162,0.0226,1.6342,0.8955,0.0210
unet_lam0_seed1,unet_lam0,r_A,0.9162,0.0226,1.6342,0.8955,0.0210
unet_lam0_seed1,unet_lam0,dis,0.9513,0.0232,1.6552,0.9066,0.0203
unet_lam0_seed1,unet_lam0,g2,0.9417,0.0257,1.8141,0.9071,0.0229
unet_lam0_seed1,unet_lam0,q,0.9113,0.0405,2.9347,0.8986,0.0387
unet_lam0_seed2,unet_lam0,g,0.9327,0.0222,1.7432,0.8963,0.0195
unet_lam0_seed2,unet_lam0,d,0.9186,0.0210,1.6627,0.8970,0.0194
unet_lam0_seed2,unet_lam0,r_A,0.9186,0.0210,1.6627,0.8970,0.0194
unet_lam0_seed2,unet_lam0,dis,0.9541,0.0214,1.6702,0.9077,0.0185
unet_lam0_seed2,unet_lam0,g2,0.9401,0.0237,1.8340,0.9046,0.0211
unet_lam0_seed2,unet_lam0,q,0.9089,0.0351,2.7923,0.8968,0.0330
unet_lam1_seed0,unet_lam1,g,0.9008,0.3405,1.6444,0.8996,0.3394
unet_lam1_seed0,unet_lam1,d,0.9024,0.3008,1.4603,0.9050,0.3009
unet_lam1_seed0,unet_lam1,r_A,0.9024,0.3008,1.4603,0.9050,0.3009
unet_lam1_seed0,unet_lam1,g2,0.9164,0.3850,1.8429,0.9140,0.3839
unet_lam1w5_seed0,unet_lam1w5,g,0.9244,0.0226,1.9431,0.8965,0.0203
unet_lam1w5_seed0,unet_lam1w5,d,0.9089,0.0198,1.7033,0.8978,0.0183
unet_lam1w5_seed0,unet_lam1w5,r_A,0.9089,0.0198,1.7033,0.8978,0.0183
unet_lam1w5_seed0,unet_lam1w5,dis,0.9524,0.0201,1.7097,0.9018,0.0168
unet_lam1w5_seed0,unet_lam1w5,g2,0.9256,0.0235,1.9959,0.8968,0.0207
unet_lam1w5_seed0,unet_lam1w5,q,0.9077,0.0246,2.1457,0.8913,0.0226
unet_lam1w5_seed1,unet_lam1w5,g,0.9194,0.0237,1.9051,0.8988,0.0215
unet_lam1w5_seed1,unet_lam1w5,d,0.9139,0.0211,1.6976,0.8958,0.0193
unet_lam1w5_seed1,unet_lam1w5,r_A,0.9139,0.0211,1.6976,0.8958,0.0193
unet_lam1w5_seed1,unet_lam1w5,dis,0.9485,0.0211,1.6815,0.9060,0.0180
unet_lam1w5_seed1,unet_lam1w5,g2,0.9191,0.0248,1.9873,0.9002,0.0223
unet_lam1w5_seed1,unet_lam1w5,q,0.9147,0.0264,2.1361,0.8949,0.0240
unet_lam1w5_seed2,unet_lam1w5,g,0.9222,0.0211,1.9993,0.8960,0.0187
unet_lam1w5_seed2,unet_lam1w5,d,0.9079,0.0182,1.7311,0.8947,0.0165
unet_lam1w5_seed2,unet_lam1w5,r_A,0.9079,0.0182,1.7311,0.8947,0.0165
unet_lam1w5_seed2,unet_lam1w5,dis,0.9533,0.0185,1.7405,0.9021,0.0154
unet_lam1w5_seed2,unet_lam1w5,g2,0.9234,0.0217,2.0369,0.8981,0.0191
unet_lam1w5_seed2,unet_lam1w5,q,0.9100,0.0228,2.2005,0.8884,0.0206
