condition,model_group,signal,spearman,spearman_min,spearman_max,partial,partial_min,partial_max,auroc
noise(sigma=0.5),unet_lam1,r_A,0.9597,0.9597,0.9597,0.2165,0.2165,0.2165,0.9879
noise(sigma=0.5),unet_lam1,div,,,,,,,0.5000
noise(sigma=0.5),unet_lam1,g_lin,,,,,,,0.5000
noise(sigma=0.5),unet_lam1,sure,0.9488,0.9488,0.9488,0.1789,0.1789,0.1789,0.9827
noise(sigma=0.5),unet_lam1w5,b,0.2489,0.1625,0.3145,,,,0.5636
noise(sigma=0.5),unet_lam1w5,g,0.6025,0.5752,0.6376,0.7120,0.6716,0.7403,0.7755
noise(sigma=0.5),unet_lam1w5,d,-0.5564,-0.5986,-0.5309,-0.5103,-0.5550,-0.4627,0.2070
noise(sigma=0.5),unet_lam1w5,r_A,-0.5564,-0.5986,-0.5309,-0.5103,-0.5550,-0.4627,0.2070
noise(sigma=0.5),unet_lam1w5,div,0.8719,0.8395,0.8900,0.8836,0.8547,0.8983,0.9386
noise(sigma=0.5),unet_lam1w5,g_lin,0.8187,0.8021,0.8388,0.8099,0.7806,0.8462,0.9198
noise(sigma=0.5),unet_lam1w5,sure,0.5816,0.5425,0.6067,0.5771,0.5506,0.6026,0.8164
blur(std=0.5),unet_lam0,b,0.2208,0.2055,0.2341,,,,0.5826
blur(std=0.5),unet_lam0,g,0.8584,0.8571,0.8607,0.8512,0.8495,0.8529,0.9232
blur(std=0.5),unet_lam0,d,0.8111,0.8008,0.8310,0.8310,0.8194,0.8520,0.9454
blur(std=0.5),unet_lam0,r_A,0.9717,0.9705,0.9740,0.9740,0.9726,0.9768,0.9920
blur(std=0.5),unet_lam1,b,1.0000,1.0000,1.0000,,,,1.0000
blur(std=0.5),unet_lam1,g,,,,,,,0.5000
blur(std=0.5),unet_lam1,d,0.9999,0.9999,0.9999,0.1511,0.1511,0.1511,1.0000
blur(std=0.5),unet_lam1,r_A,0.9999,0.9999,0.9999,0.1511,0.1511,0.1511,1.0000
blur(std=0.5),unet_lam1w5,b,0.3635,0.3436,0.3913,,,,0.6387
blur(std=0.5),unet_lam1w5,g,0.6944,0.6787,0.7060,0.6357,0.6027,0.6588,0.8466
blur(std=0.5),unet_lam1w5,d,0.2438,0.1659,0.3011,0.1994,0.1259,0.2462,0.6926
blur(std=0.5),unet_lam1w5,r_A,0.7073,0.6731,0.7415,0.7266,0.6970,0.7543,0.9185
blur(std=1),unet_lam0,b,0.3671,0.3577,0.3795,,,,0.6842
blur(std=1),unet_lam0,g,0.5494,0.5435,0.5548,0.4751,0.4718,0.4796,0.7941
blur(std=1),unet_lam0,d,0.4870,0.4807,0.4942,0.3560,0.3253,0.3829,0.7588
blur(std=1),unet_lam0,r_A,0.8340,0.8253,0.8419,0.8053,0.7925,0.8165,0.9024
blur(std=1),unet_lam1,b,0.9999,0.9999,0.9999,,,,1.0000
blur(std=1),unet_lam1,g,,,,,,,0.5000
blur(std=1),unet_lam1,d,0.9998,0.9998,0.9998,0.0500,0.0500,0.0500,1.0000
blur(std=1),unet_lam1,r_A,0.9998,0.9998,0.9998,0.0500,0.0500,0.0500,1.0000
blur(std=1),unet_lam1w5,b,0.5699,0.5545,0.5801,,,,0.7564
blur(std=1),unet_lam1w5,g,0.6368,0.6076,0.6601,0.3540,0.3177,0.3877,0.7998
